rep,auc_ref,auc_cur,auc_drop,segment_auc_drop,ks,psi,wasserstein,jensen_shannon,mmd,c2st
0,0.8414211729230424,0.8398594168742656,0.0015617560487768412,0.19821245172896151,0.01660001277923584,0.002200104000439089,0.02083403996709885,0.02673525929046395,0.00017982721328735352,-0.007100781250000021
1,0.8405547899174565,0.8473692892844449,-0.0068144993669884135,0.19060291229089188,0.014299988746643066,0.00185223499731735,0.014803485260279739,0.02666742539932404,0.00010323524475097656,0.009929199218750018
2,0.8418757610822092,0.8444405639253334,-0.0025648028431242142,0.19942870244919253,0.022150009870529175,0.00198925013709295,0.028376087943671455,0.026823041636520523,6.371736526489258e-05,0.008388183593749932
3,0.8423749838675693,0.8483311315574823,-0.005956147689913038,0.17266259289262031,0.020099997520446777,0.0024082612919926714,0.02294643166149615,0.02509318598618139,-0.00014793872833251953,-0.008036035156249954
4,0.8404009320082545,0.850983970167316,-0.010583038159061475,0.16714102873164272,0.013099998235702515,0.0019030568204504226,0.01397647979058241,0.02370518107131303,0.0001747608184814453,-0.00025917968749994413
5,0.8436269648421693,0.838148433360378,0.005478531481791227,0.28349410853522705,0.014850005507469177,0.0029571376323376686,0.016126035285803017,0.027103062532784612,-7.772445678710938e-05,-0.020525000000000015
6,0.8448432107217887,0.8459253220803419,-0.0010821113585531839,0.21326598250070983,0.015350013971328735,0.00202136628334876,0.020493966165225346,0.02473045604120269,-6.383657455444336e-05,-0.00411875000000006
7,0.8368155430694147,0.8454778634015636,-0.008662320332148865,0.22603260973987882,0.016099989414215088,0.0023176909296746488,0.01962860889987145,0.029041664136402273,3.081560134887695e-05,-0.005527246093749938
8,0.8410610283868094,0.83806040274357,0.0030006256432394407,0.1906238519350273,0.013249993324279785,0.002563471350153797,0.018542628744005005,0.02340773355377475,4.5299530029296875e-05,-0.001237792968749929
9,0.8335888555075153,0.8395600251913392,-0.00597116968382394,0.19343078689062243,0.016499996185302734,0.0020991996650696096,0.023988238341061938,0.024593814886506533,-6.079673767089844e-06,-0.002931445312500003
10,0.8444628947255957,0.8471865942390933,-0.0027236995134976016,0.23465922149986873,0.014750003814697266,0.0023405426326464046,0.016471241697996235,0.023821765560102195,9.78708267211914e-05,0.004440820312499927
11,0.8473771470984458,0.8406664553423532,0.006710691756092624,0.24251611806573226,0.015450000762939453,0.0023139123388957873,0.018973441217961563,0.027312264682159883,1.430511474609375e-06,-0.0035165039062499126
12,0.8343344455142131,0.8447598122947468,-0.01042536678053374,0.21615634480218338,0.015500009059906006,0.0025105519319695963,0.01793147601826505,0.024376664408035358,-0.00010192394256591797,-0.000965429687500019
13,0.8432814881531385,0.8418404825313079,0.0014410056218305822,0.22857857823371208,0.016349971294403076,0.0025452230167910895,0.019904000999976985,0.02612172431667091,-1.2040138244628906e-05,-6.66015624999905e-05
14,0.8482420592552887,0.8415898114722323,0.0066522477830563975,0.24406833682729068,0.014050006866455078,0.0021316567034189546,0.01620101827216634,0.02536318273709526,-6.693601608276367e-05,-0.012759960937500037
15,0.8333571743202989,0.8439554562120017,-0.010598281891702865,0.1389089050514819,0.01635003089904785,0.0020957928201704185,0.02023607006267822,0.024176462840170797,-0.0001475214958190918,4.365234374992255e-05
16,0.8442044703862138,0.8428841191066997,0.0013203512795141314,0.14243250962000964,0.01635003089904785,0.001987518402807534,0.016041265873329234,0.024219464568012862,-0.00015360116958618164,-0.003129394531249996
17,0.8369982986257165,0.8396551969758055,-0.0026568983500889765,0.2350990958053738,0.021250009536743164,0.0026496398348318517,0.021522819576332456,0.02645015069532392,4.708766937255859e-06,0.01728115234374994
18,0.8384387058835364,0.8390894395475343,-0.0006507336639979266,0.20641747323447823,0.01594996452331543,0.001891477715861805,0.021852321885453992,0.025394220772110863,-1.329183578491211e-05,-0.004881152343749973
19,0.8457362668511615,0.8388507155048787,0.006885551346282881,0.21176073494211523,0.014800012111663818,0.0016234027823780813,0.017692679048811787,0.024715803771827055,4.482269287109375e-05,0.004205859374999954
20,0.8370667354780545,0.8452602890790156,-0.008193553600961079,0.16502844762948865,0.01705002784729004,0.0016164971015690337,0.022398608473675988,0.024659054676454958,-1.239776611328125e-05,-0.007011718749999951
21,0.8407640740503042,0.8364179947106737,0.004346079339630493,0.22315107409999424,0.015049993991851807,0.0020489114201343184,0.020267170229761804,0.024432231265151434,-8.386373519897461e-05,-0.013717675781249938
22,0.845757994108161,0.8414275491325445,0.004330444975616521,0.23176074218508003,0.014199972152709961,0.001929098568285107,0.01646273597761561,0.026231495083884795,-8.791685104370117e-05,-0.00341171875000007
23,0.8446279879753282,0.8364156238156131,0.008212364159715158,0.1600740402987667,0.015200018882751465,0.0017259238361478596,0.017610312450503287,0.023552130204807346,-0.00010609626770019531,-0.0068740234374999876
24,0.8386826157023857,0.8389655867182465,-0.0002829710158608334,0.17340227467246783,0.017849981784820557,0.0017603382327334373,0.01886073422973129,0.025979682248456454,5.441904067993164e-05,0.002036035156249949
25,0.8383322368236081,0.842301973182754,-0.003969736359145881,0.1682865548722593,0.016349971294403076,0.0017898969133877361,0.019384395162912942,0.024183525112601037,-2.777576446533203e-05,0.0021311523437499424
26,0.8374154242165011,0.8422671238999102,-0.00485169968340915,0.22540808205822827,0.018299996852874756,0.002232604312709461,0.02499792311831179,0.02392422227240158,-1.2874603271484375e-05,-0.0004873046875000231
27,0.8350474876664395,0.8431675298809246,-0.008120042214485035,0.1934539008942049,0.016950011253356934,0.001712110436022668,0.027981354380542108,0.02434333271245132,0.0001366138458251953,-0.0005575195312500503
28,0.8425180183621616,0.8417693609073174,0.0007486574548442038,0.1579411224122068,0.017700016498565674,0.0022426666480815077,0.020680238302496774,0.02650260483355837,5.626678466796875e-05,-0.0069915039062500295
29,0.839988051247964,0.8467533587472111,-0.006765307499247086,0.209273845083767,0.01735001802444458,0.0022486333156987895,0.019630277406523882,0.025142179662120057,-7.325410842895508e-05,0.007470605468750002
30,0.8413038442984487,0.840574917887127,0.0007289264113217175,0.19167660554958244,0.01635003089904785,0.0022438228279678695,0.01751491042637546,0.027371361701291706,3.8743019104003906e-05,-0.005097753906250002
31,0.8422582637323139,0.8386962965669692,0.003561967165344737,0.21649281274281273,0.015149950981140137,0.0022037361604259104,0.020457477697250405,0.025708432635589678,-3.24249267578125e-05,-0.007188183593749953
32,0.8422524236556574,0.8458895414494098,-0.003637117793752309,0.13170353019379255,0.013999998569488525,0.002261579067911677,0.0199977147834572,0.024095813711842728,-4.965066909790039e-05,-0.017779394531249992
33,0.839368307806954,0.838921491903124,0.00044681590383000014,0.2237435989537283,0.015600025653839111,0.0019252275604837788,0.020136882944000203,0.027894417176971564,-1.7821788787841797e-05,-0.005087597656249998
34,0.8426881572408121,0.8421649865254124,0.0005231707153997567,0.23707462389859157,0.016749978065490723,0.0020355456083828963,0.020588723261775077,0.0245383123180386,0.00023049116134643555,-0.012620898437499972
35,0.8411356652152618,0.8404205581045605,0.0007151071107013296,0.21195908465829194,0.01704999804496765,0.0021430738835264136,0.018913375551374352,0.025849093432184583,-5.543231964111328e-06,0.00011718750000000444
36,0.84200313930692,0.8420529828266037,-4.984351968373435e-05,0.23203381189508876,0.01840001344680786,0.0023665972746796625,0.020373846158581597,0.026784794156075143,-2.1636486053466797e-05,-0.0007362304687499877
37,0.8490847038217085,0.8336895441849645,0.015395159636743982,0.2576685085623257,0.014150023460388184,0.002746914970655564,0.01681109059484786,0.02568433150805771,-4.273653030395508e-05,0.009529101562499975
38,0.83942664063437,0.84668549037732,-0.007258849742949991,0.21665116408872886,0.019050002098083496,0.0021075725386793935,0.023910220460932746,0.02493837358331109,1.6748905181884766e-05,0.007414746093749924
39,0.8470656786543359,0.8374407235448532,0.009624955109482691,0.16184419006161355,0.018150001764297485,0.0016946044375637371,0.021836083331122736,0.023744633891161684,-9.053945541381836e-05,-0.0031534179687500163
40,0.8453552165925926,0.8432749741371881,0.002080242455404502,0.1976681649585954,0.020950019359588623,0.0020446194190779825,0.028692970488695266,0.023853648981062733,-9.113550186157227e-05,-0.003212988281250051
41,0.8447118982280355,0.8451678493504844,-0.00045595112244889435,0.25965508681864335,0.0196000337600708,0.0022914928550055486,0.023453916280321653,0.027001276184748776,-2.8371810913085938e-05,0.004234277343749926
42,0.8424818424676225,0.8438690988942195,-0.0013872564265969833,0.25737318735097847,0.01705002784729004,0.0020296226266260345,0.022056261555788523,0.02635868663033046,7.68899917602539e-06,0.004304687500000015
43,0.837395418074074,0.8426127581924275,-0.005217340118353508,0.1991574121325007,0.016400009393692017,0.0020925933708648937,0.02038124707546513,0.024654173422836444,-5.3763389587402344e-05,0.010233789062499943
44,0.8501275007876495,0.8368854566138559,0.013242044173793599,0.2010947069654777,0.016949981451034546,0.001936553704610511,0.02156128196499112,0.024448804022894854,-4.601478576660156e-05,0.0021889648437499742
45,0.8448487539520468,0.843018905591838,0.00182984836020883,0.26740246239438736,0.016349971294403076,0.0022165785299558026,0.02129127485476829,0.025874282186824464,-1.71661376953125e-05,0.002037207031249988
46,0.8425794788941793,0.8376988040231487,0.00488067487103061,0.2582312062684925,0.01810002326965332,0.0027838295603857003,0.02058689766486668,0.029593620332389582,3.141164779663086e-05,-0.00571269531249996
47,0.840685396861971,0.8438091139073852,-0.0031237170454142538,0.15202034192997882,0.016949951648712158,0.0022330684256535293,0.023477456500649616,0.027889701534146463,-5.269050598144531e-05,0.01397841796874999
48,0.8345364571246467,0.8434671254397308,-0.008930668315084045,0.19028961671475186,0.015799999237060547,0.0019061874653482976,0.019130153974102167,0.023132676501421496,0.00029414892196655273,-0.004582910156249953
49,0.8398174781766007,0.8399181371358287,-0.00010065895922806156,0.18853401033336958,0.01644998788833618,0.0024361120819602704,0.02417603563467771,0.028787455447666983,-0.00020313262939453125,0.0024820312500000163
50,0.8396928612330598,0.8424654503828946,-0.002772589149834803,0.17318052834328945,0.020400017499923706,0.0020140711903364307,0.025825533307693434,0.023185360456624605,-3.993511199951172e-06,-0.0004648437499999991
51,0.8377835741650833,0.8422498048750563,-0.004466230709972985,0.2385401929491604,0.017750024795532227,0.0021025924320212793,0.021394487425289283,0.026716055176463322,9.757280349731445e-05,-0.005346875000000029
52,0.8423504887494622,0.8379351313048782,0.004415357444583989,0.21516558821658827,0.020550012588500977,0.002479812135293924,0.024023190069045356,0.026875395034049225,4.214048385620117e-05,0.007024023437500082
