dropped_archetype,winner,spearman_vs_full_suite,ks,psi,wasserstein,jensen_shannon,mmd,c2st
true_null,jensen_shannon,0.942857142857143,-0.085884190570527,0.0040435490083086025,0.023336612080068323,0.023922184428253997,0.0013426755633150621,-0.023315676814311136
covariate_shift_mild,jensen_shannon,1.0,0.08317951896687718,0.1735989675679757,0.2153896748664011,0.21995086235686442,0.14964238495791665,0.15806579122225467
covariate_shift_moderate,jensen_shannon,1.0,0.09090909090909091,0.17908199293999436,0.2216654637014936,0.22577939599576777,0.15659205853725428,0.16544091403206157
covariate_shift_strong,jensen_shannon,1.0,0.07548513560963971,0.16815108649715144,0.20915559484351143,0.21416283441859715,0.14273100124698312,0.15073123679854006
concept_drift_no_covariate_shift,jensen_shannon,1.0,0.13863529300535438,0.30591714206448173,0.355183420735595,0.357829952382788,0.21311341255318392,0.24163767247515616
imputation_masked_null,jensen_shannon,1.0,-0.037151880838356854,0.08957523267866288,0.12964362164570056,0.13104473567311142,0.042323691105290995,0.04416861179738533
imputation_visible,jensen_shannon,1.0,-0.037151880838356854,0.08957523267866288,0.1194116889545466,0.13104473567311142,0.042323691105290995,0.04416861179738533
dilution_shift,jensen_shannon,0.6,0.10931531474040844,0.10047357498677412,0.1194116889545466,0.13104473567311142,0.10920436821044063,0.11903526087233476
dilution_permuted,jensen_shannon,0.942857142857143,-0.07199193735449917,0.02536731447159205,0.04211589393419344,0.044181391705649165,0.016846623190642295,0.004124772370405789
irrelevant_feature_drift,jensen_shannon,1.0,0.060192926542884606,0.15735395960597537,0.19680472136175722,0.20270094365612104,0.12901473791276968,0.1361749580903606
sudden_shift,jensen_shannon,1.0,-0.037151880838356854,0.08957523267866288,0.1194116889545466,0.13104473567311142,0.042323691105290995,0.04416861179738533
gradual_shift,jensen_shannon,1.0,0.022296360837234856,0.1361089533420967,0.17161331398434312,0.2009694139889717,0.07677822472452198,0.09487061300735072
